brand,n_periods,n_nonzero,total_units,train_periods,val_periods,test_periods
HARBOE,46,46,237169351.7416,32,7,7
COCA COLA,46,46,218038066.6638,32,7,7
PEPSI,46,46,186863900.9264,32,7,7
FAXE KONDI,46,46,141584193.8253,32,7,7
FANTA,46,46,38141525.9753,32,7,7
JOLLY,46,46,21025636.2075,32,7,7
TUBORG SQUASH,46,46,19738313.111,32,7,7
SCHWEPPES,46,46,15529363.745000001,32,7,7
HANCOCK,46,46,10811274.8055,32,7,7
SAN PELLEGRINO,46,46,9066237.4358,32,7,7
FEVER TREE,46,46,8865073.1004,32,7,7
HARBOE OTHER,46,46,4945541.5163,32,7,7
EGO,46,46,4300047.1121000005,32,7,7
SPRITE,46,46,3380503.3735,32,7,7
ULUDAG,46,46,3379009.8703,32,7,7
CARIBIA,46,46,3284139.8342,32,7,7
FREM,46,46,2486339.173,32,7,7
THE PERFECT MIXER,46,46,2343247.0,32,7,7
NORNIR,46,21,2192506.0,32,7,7
RYNKEBY,46,19,2066380.7509,32,7,7
MIRINDA,46,46,1883431.7153,32,7,7
FRESH,46,34,1758162.1745,32,7,7
7-UP,46,46,1633575.8694,32,7,7
NODA,46,46,1562511.4671,32,7,7
MOUNTAIN DEW.,46,46,1488208.9126,32,7,7
CARLSBERG SPORT,46,45,1410082.9888,32,7,7
FENTIMANS,46,46,1137217.1292,32,7,7
DR PEPPER,46,46,1078576.6338,32,7,7
THOMAS HENRY,46,46,952304.3289,32,7,7
THOR,46,46,765732.6485,32,7,7
LØGISMOSE,46,46,662367.0,32,7,7
ALBANI,46,46,597387.9863,32,7,7
GUARANA ANARCTICA,46,42,585084.652,32,7,7
THY,46,46,459739.3399,32,7,7
JARRITOS,46,46,451415.3074,32,7,7
LE VILLAGE,46,39,426617.0,32,7,7
FRESH MOJITO,46,34,408553.1474,32,7,7
HATA RAMUNE,46,46,379841.7499,32,7,7
EASIS,46,39,341686.0,32,7,7
SALTUM,46,46,337546.3002,32,7,7
NIKOLINE,46,46,301180.3362,32,7,7
AYYO,46,46,289654.7696,32,7,7
ORANGINA,46,46,267712.2017,32,7,7
REINE DES LIMONADES,46,46,230227.0,32,7,7
CHUPA CHUPS,46,46,210856.4879,32,7,7
DOUBLE DUTCH,46,39,198003.232,32,7,7
EBELTOFT,46,46,177416.1435,32,7,7
ØVRIGE BRAND,46,46,174318.128,32,7,7
WARHEADS,46,46,165102.6889,32,7,7
KINLEY,46,46,160328.48930000002,32,7,7
FUGLSANG,46,46,153035.57259999998,32,7,7
ØRBÆK,46,46,125733.2654,32,7,7
MACARN,46,46,112240.0,32,7,7
CANDY CAN,46,46,100352.1499,32,7,7
ØKOBRUS,46,27,98284.0,32,7,7
ØNDLINGS,46,32,90534.6233,32,7,7
EFFERVE,46,46,66128.7742,32,7,7
SIRMA,46,46,54846.0,32,7,7
SAN BENEDETTO,46,34,52834.375400000004,32,7,7
PACHA,46,36,46042.0,32,7,7
GAZOZ,46,36,44945.835399999996,32,7,7
FRANKLIN & SONS,46,46,42557.0,32,7,7
NATUR FRISK,46,46,39752.6706,32,7,7
LORINA,46,27,39265.4922,32,7,7
GALVANINA,46,30,30368.0,32,7,7
QDOL,46,21,25407.4418,32,7,7
FINGERS CROSSED,46,46,24053.063,32,7,7
EAGLE,46,18,22774.1015,32,7,7
SFC,46,46,19779.1277,32,7,7
D&G,46,31,19035.4441,32,7,7
OLD JAMAICA,46,34,13941.5398,32,7,7
1724,46,46,13577.0463,32,7,7
VESTFYN,46,29,12106.0,32,7,7
BRAIN LICKER,46,18,11030.0537,32,7,7
THE LONDON ESSENCE,46,39,9230.6,32,7,7
VIMTO,46,43,9028.6392,32,7,7
BUNDABERG,46,46,8073.4712,32,7,7
RUBICON,46,46,6554.6565,32,7,7
BOYLAN,46,46,5875.0,32,7,7
ABBOTT'S,46,25,5008.0,32,7,7
HAWAI,46,40,4230.5428,32,7,7
LE TRIBUTE,46,46,2869.75,32,7,7
BORNHOLMS MOSTERI,46,29,2434.0,32,7,7
DEPANNEUR FRIZZANTE,46,41,2300.0,32,7,7
EAST IMPERIAL,46,30,2293.0,32,7,7
PUNCH! CLUB,46,17,2095.0,32,7,7
BRITVIC,46,33,1426.0,32,7,7
MILKIS,46,23,1310.0,32,7,7
LEMONAID,46,17,888.0,32,7,7
INDI & CO,46,36,823.0,32,7,7
VOELKEL,46,36,460.0,32,7,7
KIMURA,46,18,379.0,32,7,7
MG TONICA,46,29,286.0,32,7,7
NICOLAS VAHE,46,42,159.0,32,7,7
DOCTOR POLIDORIS,46,23,70.0,32,7,7
