brand,n_periods,n_nonzero,total_units,train_periods,val_periods,test_periods
HARBOE,41,41,73560372.84989999,29,6,6
BLUE KELD,41,41,25136770.3274,29,6,6
FIRST PRICE,41,41,16138631.0565,29,6,6
AQUA D'OR,41,41,13559659.8688,29,6,6
KILDEVÆLD,41,41,8483825.3565,29,6,6
EGEKILDE,41,41,7782945.8333,29,6,6
SAN PELLEGRINO,41,41,5723649.6289,29,6,6
RAMLOESA,41,31,4903368.5179,29,6,6
OTHER BRAND,41,31,664889.4654999999,29,6,6
ACTIVE 02,41,41,589396.9149,29,6,6
HANCOCK,41,41,466883.6511,29,6,6
CARLSBERG KURVAND,41,41,247029.723,29,6,6
PERRIER,41,41,223934.74719999998,29,6,6
OK PLUS,41,40,156410.0,29,6,6
KIRVI,41,41,123986.9859,29,6,6
EVIAN,41,41,98474.2872,29,6,6
LIQUID DEATH,41,26,84660.9704,29,6,6
FREM,41,41,75661.8151,29,6,6
DENICE,41,39,51241.4351,29,6,6
SAN BENEDETTO,41,41,31115.8293,29,6,6
SALTUM,41,41,27924.3515,29,6,6
ACQUA PANNA,41,41,27007.2356,29,6,6
WATER BOX,41,41,15859.0,29,6,6
THY,41,41,15602.0,29,6,6
NERO,41,19,11000.0,29,6,6
AQUA NOBEL,41,15,3321.0,29,6,6
ULUDAG,41,40,206.0,29,6,6
FEVER TREE,41,28,134.0,29,6,6
NATUR FRISK,41,31,128.0,29,6,6
SIRMA,41,20,46.0,29,6,6
