brand,n_periods,n_nonzero,total_units,train_periods,val_periods,test_periods
RED BULL,43,43,95510634.5769,30,6,7
MONSTER ENERGY,43,43,95200963.0887,30,6,7
FAXE KONDI BOOSTER,43,43,83710989.3733,30,6,7
CULT,43,43,12282263.1139,30,6,7
STATE,43,43,11634076.1326,30,6,7
VITAMIN WELL,43,43,8858075.8632,30,6,7
X-RAY,43,33,7071340.5415,30,6,7
POWERADE,43,43,6051466.7649,30,6,7
PRIME,43,39,3965999.5078000003,30,6,7
NOCCO,43,43,2621163.1589,30,6,7
FAXE KONDI PRO,43,30,2520452.0596,30,6,7
ROCKSTAR,43,43,2387564.8818,30,6,7
NAILED,43,17,1320616.1674,30,6,7
PURE,43,16,1239267.3,30,6,7
POWERKING,43,43,1057718.4834,30,6,7
STATE VITAMIN,43,43,953514.8592,30,6,7
GATORADE,43,43,781173.3125,30,6,7
SMAG,43,43,707174.9355,30,6,7
LINUSPRO,43,32,515263.8502,30,6,7
VALSØLILLE,43,16,515053.5392,30,6,7
COLLAB,43,30,508914.0356,30,6,7
AQUA D'OR,43,34,504619.6905,30,6,7
4MOVE,43,43,432402.247,30,6,7
BUTTERFLY,43,34,358690.0,30,6,7
EASIS,43,39,334245.41359999997,30,6,7
NUTRAMINO,43,43,282917.0,30,6,7
BOBLI VITAMINS,43,20,185902.9053,30,6,7
HEAVE,43,33,148343.1992,30,6,7
FIRE ENERGY,43,43,148257.2638,30,6,7
BODYLAB,43,27,95204.4619,30,6,7
LOHILO,43,27,92824.65,30,6,7
HERO,43,36,76402.0,30,6,7
OTHER BRAND,43,21,67805.0,30,6,7
CLUTCH COGNITION,43,43,54981.65,30,6,7
KICK IN,43,19,53709.3141,30,6,7
BANG,43,18,48252.6319,30,6,7
MUST ESSENTIALS,43,33,47263.0,30,6,7
CLUTCH INNOSODA,43,22,40796.0,30,6,7
PRO:VOLU,43,30,40690.0,30,6,7
BRITE,43,15,27919.299899999998,30,6,7
RUBICON,43,36,25413.2952,30,6,7
INZYM,43,18,18670.0,30,6,7
MATCHA ENERGY,43,28,10617.0,30,6,7
BURN,43,15,8398.7393,30,6,7
MORTAL KOMBAT,43,23,6395.0873,30,6,7
PUREPOWER,43,16,6282.1555,30,6,7
MANA ENERGY,43,40,5770.0,30,6,7
CARABAO,43,15,2919.6155,30,6,7
ENERVIT,43,17,716.0,30,6,7
GLACEAU,43,17,43.0,30,6,7
