brand,n_periods,n_nonzero,total_units,train_periods,val_periods,test_periods
BREEZER,41,41,37765590.6894,29,6,6
SHAKER,41,41,27903978.4254,29,6,6
SMIRNOFF ICE/TWISTED,41,41,25102530.4331,29,6,6
SOMERSBY,41,41,10850147.5001,29,6,6
MOKAÏ,41,41,3960037.0391,29,6,6
READY TO DRINK,41,41,2529354.0,29,6,6
IMPRESS,41,41,715681.3023999999,29,6,6
TANQUERAY,41,41,666500.0444,29,6,6
CULT MODJO,41,22,526955.0,29,6,6
PUNCH! CLUB,41,38,500626.9473,29,6,6
NOHRLUND,41,41,370955.1787,29,6,6
BUZZBALLZ,41,41,313052.7529,29,6,6
MIKROPOLIS COCKTAILS,41,41,288526.4713,29,6,6
THE COCKTAIL FACTORY,41,41,227578.8707,29,6,6
MAGNERS,41,41,206484.9796,29,6,6
SPRITZ,41,30,181844.0989,29,6,6
REKORDERLIG,41,41,166769.098,29,6,6
SIR. JAMES 101,41,41,138807.5246,29,6,6
MOJITO,41,30,133224.8401,29,6,6
SMIRNOFF,41,41,104468.6243,29,6,6
MALFY,41,35,103746.23580000001,29,6,6
G&T,41,30,100859.8835,29,6,6
APEROL,41,41,95165.4737,29,6,6
BACARDI,41,41,93185.9128,29,6,6
BOLD,41,20,92368.9085,29,6,6
NORDIC BY NATURE,41,41,89252.6351,29,6,6
LIME DAIQUIRI,41,30,85978.7136,29,6,6
IL CAPOLAVORO,41,15,80766.0,29,6,6
NORTH OAK,41,37,76978.0,29,6,6
FUNKIN,41,29,76745.0,29,6,6
CLASSIC COCKTAILS,41,41,66408.559,29,6,6
COCKY CRANE,41,20,59892.0,29,6,6
ART OF THE REFILL,41,23,59071.95,29,6,6
SJUSS,41,29,41143.9241,29,6,6
PALOMA (ISH),41,18,35940.0271,29,6,6
BOTTEGA,41,28,31957.4656,29,6,6
BOMBAY,41,26,31801.5331,29,6,6
NØRREBRO,41,41,28993.3854,29,6,6
COPPA,41,41,26448.3618,29,6,6
CAPTAIN MORGAN,41,16,22804.3,29,6,6
KOSKENKORVA,41,15,19951.0,29,6,6
STOWFORD PRESS,41,41,16719.1551,29,6,6
NYBORG DISTILLERY,41,40,15403.0,29,6,6
GORDONS,41,16,15105.0,29,6,6
WESTONS,41,41,14501.294,29,6,6
SPIRIT GARDEN,41,19,13926.3001,29,6,6
DANSK.,41,16,13265.0,29,6,6
LE COQ,41,19,12423.0,29,6,6
BRYGHUSET BRAUNSTEIN,41,39,12011.0,29,6,6
THATCHERS,41,41,11171.0,29,6,6
STRONGBOW,41,19,10346.0,29,6,6
CHANDON,41,38,10207.1659,29,6,6
PALLINI,41,29,10196.0,29,6,6
HAPPY JOE,41,41,9406.6908,29,6,6
OTHER BRAND,41,31,8452.1181,29,6,6
ANGIOLETTI,41,40,8070.663,29,6,6
BULMERS,41,41,5755.4219,29,6,6
SHEPPYS,41,41,5653.0,29,6,6
VIP SPRITZ,41,15,3816.5419,29,6,6
GALIPETTE,41,41,3458.0,29,6,6
ÆBLEROV,41,18,3179.0,29,6,6
LA CHOUETTE,41,41,1767.0,29,6,6
SMÅ,41,36,1750.7862,29,6,6
RUBY,41,16,1561.0,29,6,6
FEJØ,41,40,1501.0,29,6,6
FRANKLIN & SONS,41,16,1310.0,29,6,6
ØKOLADEN,41,15,746.0,29,6,6
ANDERSEN WINERY,41,40,715.0,29,6,6
AERIS,41,22,439.0,29,6,6
RAW CIDER,41,19,268.0,29,6,6
SKÆRSØGAARD,41,38,216.0,29,6,6
MAISON SASSY,41,15,151.0,29,6,6
