CSD -- brand x month panel (first 10 rows)
==========================================

brand  period_year  period_month  sales_units  sales_value  sales_liters  promo_units  weighted_dist
 1724         2022            10     525.7856    9861.2336      105.1571     107.4712         0.0217
 1724         2022            11     433.3169    7926.8913       88.4634     173.2430         0.0108
 1724         2022            12    1076.2141   25073.0004      247.2428     373.5461         0.0076
 1724         2023             1     497.0000   11224.5100      112.8000     131.2825         0.0065
 1724         2023             2     540.0291    8414.5191      111.0058     130.1168         0.0071
 1724         2023             3     544.6839   10218.2028      114.9368     209.7336         0.0115
 1724         2023             4     359.8268    8883.0222       82.7654      68.1029         0.0080
 1724         2023             5     294.0000    7231.4240       67.8000       9.0000         0.0087
 1724         2023             6     541.5588   11782.2549      116.1118      22.9137         0.0074
 1724         2023             7     460.5588    8995.9549       95.1118       0.0000         0.0098
