Danskvand -- brand x month panel (first 10 rows)
================================================

      brand  period_year  period_month  sales_units  sales_value  sales_liters  weighted_dist
ACQUA PANNA         2023             3      95.0000    1393.4000       47.5000         0.0006
ACQUA PANNA         2023             4      92.0000    1359.3500       46.0000         0.0006
ACQUA PANNA         2023             5     137.0000    2003.8000       68.5000         0.0005
ACQUA PANNA         2023             6     396.0000    4948.4500      198.0000         0.0008
ACQUA PANNA         2023             7     113.0000    1309.5500       56.5000         0.0008
ACQUA PANNA         2023             8     241.0000    3175.6500      120.5000         0.0007
ACQUA PANNA         2023             9     275.0000    3994.2500      137.5000         0.0011
ACQUA PANNA         2023            10     109.0000    1583.2000       54.5000         0.0009
ACQUA PANNA         2023            11      35.0000     507.9700       17.5000         0.0012
ACQUA PANNA         2023            12      72.0000    1048.5000       36.0000         0.0010
