Energidrikke -- brand x month panel (first 10 rows)
===================================================

brand  period_year  period_month  sales_value  sales_liters  sales_units  sales_value_any_promo  sales_in_liters_any_promo  promo_units  sales_units_any_tpr  numeric_distribution  numeric_distribution_reach  weighted_dist  weighted_distribution_reach  total_weighted_distribution_points_tdp_reach  number_of_items_reach  avg_number_of_stores_selling_reach  universe_number_of_stores  avg_no_of_items_per_store_reach  weighted_distribution_any_promo  weighted_distribution_disp_feat  weighted_distribution_disp_wo_feat  weighted_distribution_feat_wo_disp  weighted_distribution_total_feat  weighted_distribution_any_disp  weighted_distribution_any_tpr  baseline_sales_value  baseline_sales_in_liters  baseline_sales_units  baseline_sales_value_any_promo  baseline_sales_in_liters_any_promo  baseline_sales_units_any_promo
4MOVE         2023             1  294115.0764    20692.6051   27590.1401            225087.5021                 15792.5918   21056.7891            1176.8391                0.1334                      0.1939         0.1839                       0.2617                                        0.2617               490.0952                            486.6207                  2509.2500                           1.0072                           0.1308                           0.0432                              0.0635                              0.0160                            0.0592                          0.1067                         0.0113           180913.0317                12669.6922            16892.9228                     118633.6455                           8258.1145                      11010.8193
4MOVE         2023             2   69308.3294     4836.0119    6448.6826             44346.9966                  3093.7438    4124.9919             304.1307                0.0303                      0.0598         0.0410                       0.0803                                        0.0803               150.8214                            149.9911                  2507.7500                           1.0043                           0.0351                              NaN                              0.0279                                 NaN                               NaN                          0.0279                         0.0097           116626.2282                 8099.5801            10799.8918                      25085.7249                           1732.1909                       2309.5877
4MOVE         2023             3  334662.9604    25403.0608   33870.7475            330819.9515                 25102.8752   33470.5004           32132.6510                0.0858                      0.1301         0.1153                       0.1779                                        0.1779               325.1429                            325.0158                  2498.4000                           1.0005                           0.1132                              NaN                              0.0534                                 NaN                               NaN                          0.0534                         0.1595            55495.0622                 3929.9300             5239.9068                      21538.1922                           1512.2766                       2016.3687
4MOVE         2023             4   43723.1618     3143.5206    4191.3608             33992.9944                  2493.4458    3324.5944            2121.3806                0.0254                      0.0536         0.0334                       0.0714                                        0.0714               133.8527                            133.8488                  2496.2500                           0.9997                           0.0274                              NaN                              0.0166                                 NaN                               NaN                          0.0166                         0.0236            51897.4243                 3289.9796             4386.6395                       4184.9955                            291.3416                        388.4554
4MOVE         2023             5  292710.1426    22032.3546   29376.4729            156036.3073                 12191.1201   16254.8269            3289.2844                0.0621                      0.0825         0.0847                       0.1121                                        0.1121               204.9524                            204.8500                  2482.2500                           1.0031                           0.0562                           0.0002                              0.0659                                 NaN                            0.0002                          0.0660                         0.0108           240089.5371                16660.9720            22214.6294                      66891.8578                           4706.2567                       6275.0088
4MOVE         2023             6   48087.3899     3632.1820    4842.9093             26625.6814                  2124.2481    2832.3308             509.0900                0.0149                      0.0326         0.0206                       0.0496                                        0.0496                80.5429                             80.5428                  2472.0000                           1.0000                           0.0325                              NaN                              0.0304                                 NaN                               NaN                          0.0304                         0.0093            47431.6598                 3528.3962             4704.5281                      10234.7901                            793.5877                       1058.1170
4MOVE         2023             7  181158.0698    13554.3634   18072.4846            115774.9184                  8771.8077   11695.7436               0.0000                0.0470                      0.0968         0.0622                       0.1382                                        0.1382               239.9643                            238.8393                  2468.2500                           1.0024                           0.0783                           0.0219                              0.0206                              0.0357                            0.0577                          0.0426                            NaN           133387.6407                10029.1577            13372.2103                      68105.2351                           5167.5589                       6890.0785
4MOVE         2023             8  132464.6095    10559.0965   14078.7953             95136.7364                  7692.8949   10257.1932            2193.6314                0.0440                      0.0690         0.0616                       0.0949                                        0.0949               170.5756                            170.2225                  2468.0000                           1.0012                           0.1019                              NaN                              0.0935                                 NaN                               NaN                          0.0935                         0.0178            96137.3517                 7299.7736             9733.0314                      29505.7663                           2223.0942                       2964.1256
4MOVE         2023             9   22557.0558     1774.3973    2365.8631              6714.0642                   564.6926     752.9233             196.0476                0.0113                      0.0265         0.0138                       0.0329                                        0.0329                65.9695                             65.7183                  2477.4000                           1.0016                           0.0095                              NaN                              0.0086                                 NaN                               NaN                          0.0086                         0.0064            32861.0227                 2532.9906             3377.3208                       2047.8434                            158.0788                        210.7718
4MOVE         2023            10  261743.1921    21795.3401   29060.4535            102749.8677                  8549.1034   11398.8045            1984.1738                0.0827                      0.0990         0.1153                       0.1356                                        0.1356               245.9634                            245.4554                  2478.2500                           1.0011                           0.0421                              NaN                              0.0397                                 NaN                               NaN                          0.0397                         0.0133           196275.8375                16536.6887            22048.9182                      41336.7507                           3875.2176                       5166.9567
