RTD -- brand x month panel (first 10 rows)
==========================================

 brand  period_year  period_month  sales_units  sales_value  sales_liters  weighted_dist
24 ICE         2026             7    2915.0000   58054.0000      437.2500         0.0917
 AERIS         2024            10      27.0000    2160.5000        2.7000         0.0029
 AERIS         2024            11      19.0000    1456.4000        1.9000         0.0017
 AERIS         2024            12     165.0000   11710.5700       16.5000         0.0017
 AERIS         2025             1       8.0000     639.6500        0.8000         0.0011
 AERIS         2025             2       6.0000     479.7000        0.6000         0.0007
 AERIS         2025             3      18.0000    1111.5200        1.8000         0.0011
 AERIS         2025             4       3.0000     239.8500        0.3000         0.0006
 AERIS         2025             5      15.0000    1264.5000        1.5000         0.0013
 AERIS         2025             6      10.0000     913.8000        1.0000         0.0007
