Measure-Column Quality Scan
========================================

                                      column         min           max        mean  nulls  zeros  negatives  neg_pct  in_0_100
                                 sales_value      4.0000 22890339.5212 511987.9552      0      0          0   0.0000     False
                                sales_liters      0.2000   643371.2866  13930.4674      0      0          0   0.0000     False
                                 sales_units      1.0000  2313590.1334  45972.1524      0      0          0   0.0000     False
                        baseline_sales_value      1.3291 10502245.1135 329518.3273      0      0          0   0.0000     False
                    baseline_sales_in_liters      0.0088  3553782.8280  10299.0719      0      0          0   0.0000     False
                        baseline_sales_units      0.0266   685970.1477  23143.0864      0      0          0   0.0000     False
              baseline_sales_value_any_promo      0.0000  6415013.8303 148512.2873      0    935          0   0.0000     False
          baseline_sales_in_liters_any_promo      0.0000   187499.5950   3342.5763      0    935          0   0.0000     False
              baseline_sales_units_any_promo      0.0000   479644.3641  10823.9865      0    935          0   0.0000     False
                       sales_value_any_promo      0.0000 19495322.9994 360426.2821      0    854          0   0.0000     False
                   sales_in_liters_any_promo      0.0000   593866.4404  10498.2596      0    854          0   0.0000     False
                         sales_units_any_tpr -52004.2356  2024179.8711  27876.6882      0    957          1   0.0400     False
                        numeric_distribution      0.0001        0.6945      0.0289      0      0          0   0.0000      True
                  numeric_distribution_reach      0.0001        0.8270      0.0487      0      0          0   0.0000      True
                               weighted_dist      0.0000        0.8360      0.0540      0      0          0   0.0000      True
                 weighted_distribution_reach      0.0000        0.9438      0.0801      0      0          0   0.0000      True
total_weighted_distribution_points_tdp_reach      0.0000        0.9438      0.0801      0      0          0   0.0000      True
                       number_of_items_reach      1.0000     2112.1927    122.9807      0      0          0   0.0000     False
          avg_number_of_stores_selling_reach      0.2000     2111.2134    122.7690      0      0          0   0.0000     False
                   universe_number_of_stores   2468.0000     2556.0000   2521.1803      0      0          0   0.0000     False
             avg_no_of_items_per_store_reach      0.9909        5.0000      1.0044      0      0          0   0.0000      True
             weighted_distribution_any_promo      0.0000        0.6501      0.0567    854      0          0   0.0000      True
         weighted_distribution_disp_and_feat      0.0001        0.1985      0.0312   2088      0          0   0.0000      True
          weighted_distribution_disp_wo_feat     -0.0000        0.4472      0.0279   1246      0          1   0.0400     False
          weighted_distribution_feat_wo_disp      0.0003        0.4429      0.0551   2055      0          0   0.0000      True
            weighted_distribution_total_feat      0.0004        0.5950      0.0804   2052      0          0   0.0000      True
              weighted_distribution_any_disp     -0.0000        0.5775      0.0351   1239      0          1   0.0400     False
               weighted_distribution_any_tpr      0.0000        0.4349      0.0416    957      0          0   0.0000      True
