category,model,tuned_for,trial,value,best
CSD,LightGBM,wmape,0,21.196808657455673,21.196808657455673
CSD,LightGBM,wmape,1,22.208146891823567,21.196808657455673
CSD,LightGBM,wmape,2,18.182968135827604,18.182968135827604
CSD,LightGBM,wmape,3,17.580073208284155,17.580073208284155
CSD,LightGBM,wmape,4,19.640672308357573,17.580073208284155
CSD,LightGBM,wmape,5,33.985387247901414,17.580073208284155
CSD,LightGBM,wmape,6,19.999748807915964,17.580073208284155
CSD,LightGBM,wmape,7,21.184936493194662,17.580073208284155
CSD,LightGBM,wmape,8,27.525950165097726,17.580073208284155
CSD,LightGBM,wmape,9,18.089024193919776,17.580073208284155
CSD,LightGBM,wmape,10,18.422697848429742,17.580073208284155
CSD,LightGBM,wmape,11,17.39602102967978,17.39602102967978
CSD,LightGBM,wmape,12,18.305993090681213,17.39602102967978
CSD,LightGBM,wmape,13,17.989726152438678,17.39602102967978
CSD,LightGBM,wmape,14,17.24843881119966,17.24843881119966
CSD,LightGBM,wmape,15,18.357909860131226,17.24843881119966
CSD,LightGBM,wmape,16,18.182421402190865,17.24843881119966
CSD,LightGBM,wmape,17,19.200536272777747,17.24843881119966
CSD,LightGBM,wmape,18,17.414090098674976,17.24843881119966
CSD,LightGBM,wmape,19,17.615433134019753,17.24843881119966
CSD,LightGBM,wmape,20,17.484368830406083,17.24843881119966
CSD,LightGBM,wmape,21,17.314236888620453,17.24843881119966
CSD,LightGBM,wmape,22,19.421187955526687,17.24843881119966
CSD,LightGBM,wmape,23,17.66139258407046,17.24843881119966
CSD,LightGBM,wmape,24,19.859063248592808,17.24843881119966
CSD,LightGBM,wmape,25,18.10139887196196,17.24843881119966
CSD,LightGBM,wmape,26,18.532393223466315,17.24843881119966
CSD,LightGBM,wmape,27,17.51407160057585,17.24843881119966
CSD,LightGBM,wmape,28,20.184170783296565,17.24843881119966
CSD,LightGBM,wmape,29,17.717114401808608,17.24843881119966
CSD,LightGBM,wmape,30,18.49833249959537,17.24843881119966
CSD,LightGBM,wmape,31,17.301842005093505,17.24843881119966
CSD,LightGBM,wmape,32,17.778403499237584,17.24843881119966
CSD,LightGBM,wmape,33,18.076836320693772,17.24843881119966
CSD,LightGBM,wmape,34,18.002871592822082,17.24843881119966
CSD,LightGBM,wmape,35,21.41586429883551,17.24843881119966
CSD,LightGBM,wmape,36,18.61380665829341,17.24843881119966
CSD,LightGBM,wmape,37,17.697717766523834,17.24843881119966
CSD,LightGBM,wmape,38,19.691462614113235,17.24843881119966
CSD,LightGBM,wmape,39,17.217915620359527,17.217915620359527
CSD,LightGBM,wmape,40,18.09181650217458,17.217915620359527
CSD,LightGBM,wmape,41,17.595787279476497,17.217915620359527
CSD,LightGBM,wmape,42,18.109564569399303,17.217915620359527
CSD,LightGBM,wmape,43,18.226079998098143,17.217915620359527
CSD,LightGBM,wmape,44,18.104121666073922,17.217915620359527
CSD,LightGBM,wmape,45,17.89506017102392,17.217915620359527
CSD,LightGBM,wmape,46,30.145910970811315,17.217915620359527
CSD,LightGBM,wmape,47,27.292233569939523,17.217915620359527
CSD,LightGBM,wmape,48,18.446365847811148,17.217915620359527
CSD,LightGBM,wmape,49,18.35527293208702,17.217915620359527
CSD,LightGBM,wmape,50,17.83842116722183,17.217915620359527
CSD,LightGBM,wmape,51,17.308355793962654,17.217915620359527
CSD,LightGBM,wmape,52,17.663379731052636,17.217915620359527
CSD,LightGBM,wmape,53,17.59191889307902,17.217915620359527
CSD,LightGBM,wmape,54,18.43625409819542,17.217915620359527
CSD,LightGBM,wmape,55,17.65603403123966,17.217915620359527
CSD,LightGBM,wmape,56,19.841287367834134,17.217915620359527
CSD,LightGBM,wmape,57,17.365831804559964,17.217915620359527
CSD,LightGBM,wmape,58,17.184613900096217,17.184613900096217
CSD,LightGBM,wmape,59,18.216849620892063,17.184613900096217
CSD,LightGBM,wmape,60,17.418279654637384,17.184613900096217
CSD,LightGBM,wmape,61,17.520286866432276,17.184613900096217
CSD,LightGBM,wmape,62,17.757809774238147,17.184613900096217
CSD,LightGBM,wmape,63,18.086343542661453,17.184613900096217
CSD,LightGBM,wmape,64,18.295240124577816,17.184613900096217
CSD,LightGBM,wmape,65,17.39936510412213,17.184613900096217
CSD,LightGBM,wmape,66,17.681457200439677,17.184613900096217
CSD,LightGBM,wmape,67,17.75876607126989,17.184613900096217
CSD,LightGBM,wmape,68,18.25203916606297,17.184613900096217
CSD,LightGBM,wmape,69,17.43424060201802,17.184613900096217
CSD,LightGBM,wmape,70,17.930887742602692,17.184613900096217
CSD,LightGBM,wmape,71,17.520972998476527,17.184613900096217
CSD,LightGBM,wmape,72,17.65949128665089,17.184613900096217
CSD,LightGBM,wmape,73,17.91905091530562,17.184613900096217
CSD,LightGBM,wmape,74,17.863369291403803,17.184613900096217
