category,model,tuned_for,plateau_trial,gain_in_last_25_pct,cv_score,test_wmape,test_medmape,n_test
CSD,LightGBM,wmape,11,3.8,17.02635262586415,14.537532302201242,33.183277619099975,665
CSD,LightGBM,medmape,21,2.2,30.984917666593415,22.824639568394346,30.439121351402214,665
CSD,XGBoost,wmape,15,29.1,16.051457332521892,15.22379294390411,31.772371212419774,665
CSD,XGBoost,medmape,43,1.7,29.45927652437946,20.454226033566485,28.839369089310303,665
danskvand,LightGBM,wmape,10,0.0,17.891284873175834,20.5440888119334,38.613404715743506,174
danskvand,LightGBM,medmape,12,2.1,32.24028774338846,23.76442173756145,36.53509776579565,174
danskvand,XGBoost,wmape,21,0.0,17.067187196792997,20.938017246260028,35.8057014785281,174
danskvand,XGBoost,medmape,87,13.9,29.413397015001017,20.540020847696116,35.45643137617728,174
energidrikke,LightGBM,wmape,3,0.5,10.604147240289313,16.49633821444095,34.738490738368235,308
energidrikke,LightGBM,medmape,70,0.1,34.22892885238315,29.813160581560034,39.1190510565665,308
energidrikke,XGBoost,wmape,32,0.0,10.563933383569584,13.00585555537421,32.28276644002167,308
energidrikke,XGBoost,medmape,42,0.0,32.15217769335995,15.152223180491204,31.430884747949605,308
RTD,LightGBM,wmape,69,2.9,27.922907667606417,31.818675970055853,38.132679364851995,372
RTD,LightGBM,medmape,44,0.0,32.69192192659611,40.06128533785377,34.6478197609554,372
RTD,XGBoost,wmape,16,7.0,27.969958067274366,36.078738826768905,32.79151312810624,372
RTD,XGBoost,medmape,53,0.0,31.61542764739667,35.03299375310103,29.471421241760282,372
