category,brand,p,cv2,demand_class,n_periods,n_nonzero,mean_test_units
CSD,1724,1.0,0.21,smooth,26,26,135.75
CSD,7-UP,1.0,0.139,smooth,26,26,30267.56
CSD,ABBOTT'S,1.444,0.657,lumpy,26,18,0.0
CSD,ALBANI,1.0,0.073,smooth,26,26,7342.22
CSD,AYYO,1.0,1.593,erratic,26,26,289.8
CSD,BORNHOLMS MOSTERI,1.182,0.72,erratic,26,22,61.71
CSD,BOYLAN,1.0,0.33,smooth,26,26,27.0
CSD,BRAIN LICKER,1.733,3.01,lumpy,26,15,3.29
CSD,BRITVIC,1.368,16.939,lumpy,26,19,6.43
CSD,BUNDABERG,1.0,0.642,erratic,26,26,142.0
CSD,CANDY CAN,1.0,4.51,erratic,26,26,30.78
CSD,CARIBIA,1.0,0.314,smooth,26,26,114636.36
CSD,CARLSBERG SPORT,1.0,0.805,erratic,26,26,3.14
CSD,CHUPA CHUPS,1.0,0.265,smooth,26,26,109.54
CSD,COCA COLA,1.0,0.056,smooth,26,26,4443656.94
CSD,D&G,1.444,3.424,lumpy,26,18,0.0
CSD,DEPANNEUR FRIZZANTE,1.083,0.956,erratic,26,24,4.29
CSD,DOCTOR POLIDORIS,3.25,0.254,intermittent,26,8,0.71
CSD,DOUBLE DUTCH,1.3,0.617,erratic,26,20,2213.93
CSD,DR PEPPER,1.0,0.13,smooth,26,26,16342.03
CSD,EAGLE,5.2,2.18,lumpy,26,5,0.0
CSD,EASIS,1.182,3.24,erratic,26,22,7304.71
CSD,EAST IMPERIAL,1.625,0.641,lumpy,26,16,0.29
CSD,EBELTOFT,1.0,0.206,smooth,26,26,4326.87
CSD,EFFERVE,1.0,0.381,smooth,26,26,1873.26
CSD,EGO,1.0,0.041,smooth,26,26,123002.66
CSD,FANTA,1.0,0.136,smooth,26,26,904402.24
CSD,FAXE KONDI,1.0,0.069,smooth,26,26,3398215.33
CSD,FENTIMANS,1.0,0.741,erratic,26,26,6978.12
CSD,FEVER TREE,1.0,0.158,smooth,26,26,194381.02
CSD,FINGERS CROSSED,1.0,1.283,erratic,26,26,76.18
CSD,FRANKLIN & SONS,1.0,0.311,smooth,26,26,418.71
CSD,FREM,1.0,0.048,smooth,26,26,42434.07
CSD,FRESH,1.0,0.381,smooth,26,26,42979.81
CSD,FRESH MOJITO,1.0,0.464,smooth,26,26,11283.69
CSD,FUGLSANG,1.0,1.394,erratic,26,26,213.14
CSD,GALVANINA,2.0,2.875,lumpy,26,13,459.14
CSD,GAZOZ,1.0,0.678,erratic,26,26,33.0
CSD,GUARANA ANARCTICA,1.0,1.012,erratic,26,26,32300.67
CSD,HANCOCK,1.0,0.073,smooth,26,26,256735.16
CSD,HARBOE,1.0,0.054,smooth,26,26,6625064.7
CSD,HARBOE OTHER,1.0,0.098,smooth,26,26,86755.71
CSD,HATA RAMUNE,1.0,0.645,erratic,26,26,1782.7
CSD,HAWAI,1.182,1.867,erratic,26,22,120.71
CSD,INDI & CO,1.3,0.688,erratic,26,20,0.43
CSD,JARRITOS,1.0,0.521,erratic,26,26,13988.23
CSD,JOLLY,1.0,0.538,erratic,26,26,452330.58
CSD,KIMURA,2.167,0.392,intermittent,26,12,0.0
CSD,KINLEY,1.0,0.09,smooth,26,26,2530.63
CSD,LE TRIBUTE,1.0,0.237,smooth,26,26,63.29
CSD,LE VILLAGE,1.0,1.226,erratic,26,26,18413.86
CSD,LEMONAID,2.6,0.459,intermittent,26,10,61.86
CSD,LORINA,1.857,0.821,lumpy,26,14,0.0
CSD,LØGISMOSE,1.0,0.105,smooth,26,26,9705.0
CSD,MACARN,1.0,0.782,erratic,26,26,7.57
CSD,MG TONICA,1.625,0.751,lumpy,26,16,0.0
CSD,MILKIS,1.625,1.283,lumpy,26,16,23.43
CSD,MIRINDA,1.0,0.187,smooth,26,26,26601.78
CSD,MOUNTAIN DEW.,1.0,0.127,smooth,26,26,17009.46
CSD,NATUR FRISK,1.0,0.191,smooth,26,26,514.56
CSD,NICOLAS VAHE,1.083,0.567,erratic,26,24,2.57
CSD,NIKOLINE,1.0,0.067,smooth,26,26,405.56
CSD,NODA,1.0,0.356,smooth,26,26,94340.47
CSD,NORNIR,1.857,0.888,lumpy,26,14,187984.0
CSD,OLD JAMAICA,1.0,1.072,erratic,26,26,3.65
CSD,ORANGINA,1.0,0.706,erratic,26,26,6495.89
CSD,PACHA,1.625,1.553,lumpy,26,16,114.57
CSD,PEPSI,1.0,0.05,smooth,26,26,4126597.01
CSD,PUNCH! CLUB,2.6,0.488,intermittent,26,10,63.71
CSD,QDOL,1.857,1.688,lumpy,26,14,301.66
CSD,REINE DES LIMONADES,1.0,0.268,smooth,26,26,6976.71
CSD,RUBICON,1.0,0.109,smooth,26,26,85.57
CSD,RYNKEBY,2.167,0.237,intermittent,26,12,105246.83
CSD,SALTUM,1.0,0.127,smooth,26,26,4405.02
CSD,SAN BENEDETTO,1.238,1.776,erratic,26,21,42.57
CSD,SAN PELLEGRINO,1.0,0.072,smooth,26,26,213759.64
CSD,SCHWEPPES,1.0,0.251,smooth,26,26,340999.64
CSD,SFC,1.0,0.57,erratic,26,26,1139.57
CSD,SIRMA,1.0,3.367,erratic,26,26,677.29
CSD,SPRITE,1.0,0.088,smooth,26,26,88443.69
CSD,THE LONDON ESSENCE,1.083,2.523,erratic,26,24,0.29
CSD,THE PERFECT MIXER,1.0,0.193,smooth,26,26,1163.57
CSD,THOMAS HENRY,1.0,1.795,erratic,26,26,18415.43
CSD,THOR,1.0,0.11,smooth,26,26,4529.26
