dataset,category,model,mape_mean,mape_median,wmape,n_train,n_test,n_series
bymonth,CSD,SeasonalNaive,1843370472044.706,76.54781254795449,34.86228866936384,1805,665,95
bymonth,CSD,Ridge,218006378054.6084,29.092564076020626,21.925288586662028,1805,665,95
bymonth,CSD,LightGBM,137591625489.15756,38.930705685598404,18.47690409998058,1805,665,95
bymonth,CSD,XGBoost,143333907967.81873,36.28002931731233,17.091123061061396,1805,665,95
bymonth,danskvand,SeasonalNaive,535085230058235.06,59.4283939749525,43.960950787951816,464,174,29
bymonth,danskvand,Ridge,163168022683.36984,38.99892196758192,19.210966309117676,464,174,29
bymonth,danskvand,LightGBM,1609174523052.5825,56.87139204116875,33.12385327385015,464,174,29
bymonth,danskvand,XGBoost,4029070845034.0146,46.20948495208094,32.558738158405525,464,174,29
bymonth,energidrikke,SeasonalNaive,671744389835295.6,98.7560115117899,30.624050185445,748,308,44
bymonth,energidrikke,Ridge,1383787326694.779,43.86511910163238,20.832425449819105,748,308,44
bymonth,energidrikke,LightGBM,2077456768411.3782,46.99540640814027,17.817656250198407,748,308,44
bymonth,energidrikke,XGBoost,1735801680652.444,43.915001976093905,14.942534909740798,748,308,44
bymonth,RTD,SeasonalNaive,29530194842631.684,94.84039349528209,54.81059994250409,992,372,62
bymonth,RTD,Ridge,19090640751.056793,36.90098088648729,57.26874516201307,992,372,62
bymonth,RTD,LightGBM,40299149950.45572,32.96193616432218,32.211114314476596,992,372,62
bymonth,RTD,XGBoost,52002147164.652115,28.600158713020495,31.77626747467973,992,372,62
