arm,category,model,test_wmape,test_mape,test_median,val_wmape,n_test
pooled,CSD,LightGBM,17.517783346603196,189387443661.1043,40.25773947149677,15.224864038601668,665
pooled,danskvand,LightGBM,21.416019964178506,22383180455.667027,37.286642729266326,15.224864038601668,174
pooled,energidrikke,LightGBM,12.085232428237878,781212700955.7076,50.274918997296815,15.224864038601668,308
pooled,RTD,LightGBM,35.78635933773433,45477810952.74052,54.99020473118348,15.224864038601668,372
per_category,CSD,LightGBM,16.323123670512842,90941467087.09029,36.955518059079836,16.05536860680329,665
per_category,danskvand,LightGBM,23.65111202909427,80545745568.71443,47.381305426403344,27.19938160038669,174
per_category,energidrikke,LightGBM,13.726092619702857,2664664856041.777,57.759834634637464,6.952823283157307,308
per_category,RTD,LightGBM,35.10283937317966,61391240257.258835,43.40059718696872,21.885483310559458,372
pooled,CSD,XGBoost,16.6051566255024,205305940743.24188,34.78488003716513,15.292885066773158,665
pooled,danskvand,XGBoost,18.933666239319816,24536976759.990562,32.392735641381776,15.292885066773158,174
pooled,energidrikke,XGBoost,12.5227164544886,761965624610.9211,50.869173914974944,15.292885066773158,308
pooled,RTD,XGBoost,37.03295643712787,43204262837.411255,44.812022564542694,15.292885066773158,372
per_category,CSD,XGBoost,15.283083763910247,197894512984.42548,35.523689238362316,15.448962072628408,665
per_category,danskvand,XGBoost,21.469480916742803,646805563934.5299,39.14129766765946,23.895202252783275,174
per_category,energidrikke,XGBoost,13.90535865853899,1926639747084.0298,39.72236810637396,7.8664910594464805,308
per_category,RTD,XGBoost,35.496629131850355,34436031385.569,38.04678220400686,24.077888027471893,372
