category,model,seed,test_wmape,test_medmape
CSD,LightGBM,42,16.549999817641485,34.51819295385243
CSD,LightGBM,143,15.362847337720162,32.90680092673171
CSD,LightGBM,244,15.054890200330034,33.36688321986563
CSD,LightGBM,345,15.313742965263566,35.5616837917072
CSD,LightGBM,446,14.924745307813115,34.49692568121529
CSD,XGBoost,42,14.860011780799331,31.77638845768059
CSD,XGBoost,143,14.790043222051597,32.234074303701185
CSD,XGBoost,244,15.911213298310056,32.25461024157307
CSD,XGBoost,345,14.38979702877663,30.218207836151095
CSD,XGBoost,446,15.365619840450758,32.20591835826214
danskvand,LightGBM,42,21.07138361921636,34.855950956864525
danskvand,LightGBM,143,20.755989596373244,34.62885934873805
danskvand,LightGBM,244,19.662598067562847,35.108549233379385
danskvand,LightGBM,345,21.53609184083151,34.815939100105794
danskvand,LightGBM,446,20.922954565460692,32.81541890447555
danskvand,XGBoost,42,22.85861506171831,34.12978778116851
danskvand,XGBoost,143,21.80680662399323,33.905552061890944
danskvand,XGBoost,244,22.79101079845763,34.16539783924188
danskvand,XGBoost,345,20.392293796420834,35.36402875498978
danskvand,XGBoost,446,21.29515250213672,37.605105158243425
energidrikke,LightGBM,42,14.56056745444219,35.89825699227808
energidrikke,LightGBM,143,13.837294218647806,40.28793255325173
energidrikke,LightGBM,244,15.931316212701615,38.320925142320455
energidrikke,LightGBM,345,12.80553338109041,36.226329183175146
energidrikke,LightGBM,446,13.587738513322162,39.27756858251495
energidrikke,XGBoost,42,15.074524024790467,34.818774264807075
energidrikke,XGBoost,143,13.978778417959036,33.649595413023924
energidrikke,XGBoost,244,13.28950694091027,34.10932608648407
energidrikke,XGBoost,345,13.098384737455316,33.91411192292179
energidrikke,XGBoost,446,14.226505452445162,33.54733492791831
RTD,LightGBM,42,34.718160227672676,35.375423949270356
RTD,LightGBM,143,35.726361227150846,35.978205366968446
RTD,LightGBM,244,31.844273625905533,33.61347522945582
RTD,LightGBM,345,32.53130780758765,36.305485645192995
RTD,LightGBM,446,32.72310321247879,34.17005235036278
RTD,XGBoost,42,33.95123386213782,31.196745095047373
RTD,XGBoost,143,35.52810422601229,32.97243305067715
RTD,XGBoost,244,34.50713298225918,31.031534227274214
RTD,XGBoost,345,36.28660755785504,32.55329577837664
RTD,XGBoost,446,35.43433260333802,31.966229204158804
