category,model,wmape,median_mape,n_series,ridge_clipped
CSD,Naive,42.85947404101936,59.07692307692308,95,0
CSD,SeasonalNaive,19.19298593621145,54.65941880334045,95,0
CSD,Drift,47.652473502378136,57.01611590428129,95,0
CSD,Ridge,19.362551124657635,43.538935762543474,95,59
CSD,Ridge(unclipped),19.946837184198156,43.538935762543474,95,0
CSD,ARIMA,21.793996343876092,58.45158959155532,95,0
CSD,Prophet,105.67209841375076,63.075071550545026,95,0
danskvand,Naive,32.54125270266076,35.99471931760333,29,0
danskvand,SeasonalNaive,35.921789793562716,45.77513078956667,29,0
danskvand,Drift,32.0456075075777,43.59283617988171,29,0
danskvand,Ridge,10.88828085094,40.57829152873552,29,9
danskvand,Ridge(unclipped),10.88828085094,40.57829152873552,29,0
danskvand,ARIMA,33.51012722866308,48.351988573828315,29,0
danskvand,Prophet,19.45350998599629,37.11185046678994,29,0
energidrikke,Naive,18.90718994033582,38.02475310637744,44,0
energidrikke,SeasonalNaive,23.754614589481307,95.92902350320938,44,0
energidrikke,Drift,17.710598232708584,34.23933824446822,44,0
energidrikke,Ridge,18.252381100784905,81.47033254099286,44,46
energidrikke,Ridge(unclipped),28261334347674.17,81.47033254099286,44,0
energidrikke,ARIMA,19.391281321236477,70.11344213215622,44,0
energidrikke,Prophet,972.3741270033782,112.46166064781183,44,0
RTD,Naive,89.32934991146169,44.06130268199234,62,0
RTD,SeasonalNaive,27.27754911919873,89.42559260641461,62,0
RTD,Drift,95.90369370269912,52.88602774898141,62,0
RTD,Ridge,40.468152522512895,56.13821995021885,62,44
RTD,Ridge(unclipped),2458.9004017370285,56.782186912358966,62,0
RTD,ARIMA,53.283675626927796,65.95066949318603,62,0
RTD,Prophet,66.83600646621565,88.75288589251899,62,0
