period_year,period_month,sales_units,promo_intensity
2022,10,4472796.2612,
2022,11,4933395.443899999,
2022,12,4266595.364800001,
2023,1,3429983.0671999995,0.2940726327756125
2023,2,4061321.6739999996,0.4586776012447845
2023,3,4978711.561199999,0.25937136849907827
2023,4,3931271.1353999996,0.20200804678188183
2023,5,4539718.9166,0.3102694719226518
2023,6,6210563.9879,0.23337648791607207
2023,7,3969125.3971999995,0.2604780587070367
2023,8,4434312.4201,0.24896536696736327
2023,9,5425359.332,0.22795968455655757
2023,10,3581981.6607999993,0.2856266540230134
2023,11,3464200.8451000005,0.2909229198764727
2023,12,5513499.3346,0.2899954008060161
2024,1,3530564.0953,0.24392321835753386
2024,2,4341338.5165,0.11727420217988906
2024,3,5284878.3075,0.3795580112193527
2024,4,4356722.185500001,0.2531519102824996
2024,5,5418809.913,0.3358693206388206
2024,6,6225440.905,0.38219639538975325
2024,7,4835852.1622,0.26810781042857473
2024,8,4068687.7823,0.38914767926091676
2024,9,5591355.5198,0.2645061671820656
2024,10,4452118.169600001,0.354400004573407
2024,11,3367262.4252999993,0.19002794435677628
2024,12,4749525.990300001,0.22575464155875227
2025,1,3069643.2191000003,0.28657357244285125
2025,2,4436153.820900001,0.06884881961029378
2025,3,5958928.370599999,0.32194353058028363
2025,4,4144874.3630999997,0.0778724284348867
2025,5,7245572.1735000005,0.3653018372954498
2025,6,6056285.034900001,0.33534630341575866
2025,7,7697653.468300001,0.14575698780605584
2025,8,6156190.3078000005,0.482341696447667
2025,9,6550245.0221,0.1751155652332192
2025,10,5684361.6618,0.5922724657812978
2025,11,5392954.3957,0.4890371695276395
2025,12,4965644.6208,0.19679837921341203
