period_year,period_month,sales_units,promo_intensity
2022,10,38225.162,
2022,11,50595.58900000001,
2022,12,103387.5364,
2023,1,31594.9029,0.5341663012441911
2023,2,22997.4172,0.6556617415798836
2023,3,16407.930999999997,0.7991886621645045
2023,4,7752.3664,0.6051451767557101
2023,5,5288.118,0.6294030618360047
2023,6,4869.583500000001,0.5360726833870768
2023,7,1506.5062,0.42759840401764293
2023,8,1645.8014,0.3599600651876527
2023,9,1315.8001,0.405148592276937
2023,10,600.4676999999999,0.2055785764439602
2023,11,593.6,0.2690147790614348
2023,12,755.3145000000001,0.23692200661787458
2024,1,367.929,0.23630063698680212
2024,2,339.7109,0.10781671159029649
2024,3,458.29999999999995,0.014563469918821893
2024,4,502.59999999999997,0.0
2024,5,466.90000000000003,0.0
2024,6,472.4,0.5498581715033821
2024,7,346.59999999999997,0.6088340628730601
2024,8,593.6,0.5397301349325337
2024,9,576.6,0.4364944961896698
2024,10,333.8,0.4777841892671668
2024,11,389.4,0.17587601078167117
2024,12,494.0,0.0
2025,1,259.2,0.5176752546434992
2025,2,426.6,0.5084745762711864
2025,3,422.2,0.18218623481781376
2025,4,500.90000000000003,0.0
2025,5,498.90000000000003,0.5485232067510548
2025,6,684.4,0.1534817621980104
2025,7,330.7,0.36654022759033733
2025,8,422.29999999999995,0.5051112447384245
2025,9,601.8,0.2945645821157218
2025,10,331.0,0.0
2025,11,404.0,0.17901965427421265
2025,12,581.5,0.23928215353938187
