period_year,period_month,sales_units,promo_intensity
2022,10,0.0,
2022,11,0.0,
2022,12,0.0,
2023,1,0.0,0.0
2023,2,0.0,0.0
2023,3,0.0,0.0
2023,4,0.0,0.0
2023,5,0.0,0.0
2023,6,0.0,0.0
2023,7,0.0,0.0
2023,8,3.0,0.0
2023,9,1.0,0.0
2023,10,7.0,0.0
2023,11,5.0,0.0
2023,12,3.0,0.0
2024,1,9.0,0.0
2024,2,3.0,0.0
2024,3,19.0,0.0
2024,4,2.0,0.0
2024,5,4.0,0.0
2024,6,13.0,0.0
2024,7,9.0,0.0
2024,8,14.0,0.0
2024,9,17.0,0.0
2024,10,26.0,0.0
2024,11,25.0,0.0
2024,12,30.0,0.0
2025,1,29.0,0.0
2025,2,19.0,0.0
2025,3,10.0,0.0
2025,4,10.0,0.0
2025,5,16.0,0.0
2025,6,14.0,0.0
2025,7,15.0,0.0
2025,8,7.0,0.0
2025,9,16.0,0.0
2025,10,17.0,0.0
2025,11,15.0,0.0
2025,12,13.0,0.0
