period_year,period_month,sales_units
2023,3,1360696.394
2023,4,1249823.4265
2023,5,1324407.4212999998
2023,6,1920524.4959
2023,7,1323352.0934000001
2023,8,1449393.3687999998
2023,9,1686062.9808
2023,10,1094563.4345
2023,11,1038138.4376999999
2023,12,1440660.6996999998
2024,1,1035792.5540999998
2024,2,1097635.3289
2024,3,1416905.1687999999
2024,4,1186380.4201
2024,5,1439109.9936999998
2024,6,2058337.4741000002
2024,7,1683011.9000999997
2024,8,1761104.4741999998
2024,9,1878214.2878
2024,10,1305349.5221
2024,11,1145667.5291000002
2024,12,1371927.124
2025,1,1119706.2607
2025,2,1060345.7689
2025,3,1422515.6587
2025,4,1248871.6387999998
2025,5,1739117.4075000002
2025,6,2448978.5153
2025,7,2105679.0708
2025,8,2455219.101
2025,9,2960974.0786
2025,10,2355979.5728
2025,11,2386671.0115
2025,12,2561017.4123
2026,1,2052984.8506
