period_year,period_month,sales_units
2023,3,21416.480399999997
2023,4,12786.5045
2023,5,9712.253499999999
2023,6,16807.7794
2023,7,8889.7866
2023,8,6843.5588
2023,9,5027.718800000001
2023,10,2107.3472
2023,11,1764.0
2023,12,1573.0
2024,1,1895.0
2024,2,2992.0
2024,3,2859.6256000000003
2024,4,1640.1831
2024,5,1461.8426
2024,6,1690.3283999999999
2024,7,1287.642
2024,8,6003.4329
2024,9,14423.454399999999
2024,10,6985.7616
2024,11,3839.0
2024,12,4426.0
2025,1,3015.0
2025,2,2179.0
2025,3,3082.0
2025,4,2505.0
2025,5,4786.1810000000005
2025,6,5530.5813
2025,7,5750.7796
2025,8,6139.3293
2025,9,5209.3615
2025,10,4053.7961999999998
2025,11,2975.0
2025,12,5701.0
2026,1,5150.0
