period_year,period_month,sales_units
2023,3,138.0
2023,4,136.0
2023,5,139.0
2023,6,139.0
2023,7,164.0
2023,8,235.0
2023,9,302.0
2023,10,130.0
2023,11,103.0
2023,12,201.0
2024,1,113.0
2024,2,240.0
2024,3,300.0
2024,4,156.0
2024,5,209.0
2024,6,304.0
2024,7,279.0
2024,8,184.0
2024,9,223.0
2024,10,200.0
2024,11,283.0
2024,12,217.0
2025,1,111.0
2025,2,178.0
2025,3,244.0
2025,4,204.0
2025,5,181.0
2025,6,249.0
2025,7,621.0
2025,8,847.0
2025,9,1180.0
2025,10,830.0
2025,11,690.0
2025,12,794.0
2026,1,387.0
