period_year,period_month,sales_units,promo_intensity
2023,1,122.0,
2023,2,132.0,
2023,3,135.0,
2023,4,62.0,0.1557377049180328
2023,5,78.0,0.20454545454545456
2023,6,107.0,0.0
2023,7,302.0,0.0
2023,8,281.0,0.0
2023,9,629.0,0.0
2023,10,229.0,0.49983609271523183
2023,11,130.0,0.847797153024911
2023,12,160.0,0.8497065182829889
2024,1,496.0,0.8384279475982532
2024,2,796.0,0.0
2024,3,859.0,0.0
2024,4,278.0,0.4475806451612903
2024,5,215.0,0.3369469849246231
2024,6,243.0,0.7660069848661234
2024,7,67.0,0.4568345323741007
2024,8,68.0,0.16279069767441862
2024,9,127.0,0.2839506172839506
2024,10,61.0,0.0
2024,11,11.0,0.0
2024,12,10.0,0.0
2025,1,2.0,0.0
2025,2,5.0,0.0
2025,3,1.0,0.0
2025,4,0.0,0.0
2025,5,0.0,0.0
2025,6,0.0,0.0
2025,7,12.0,0.0
2025,8,11.0,0.0
2025,9,33.0,0.0
2025,10,38.0,0.0
2025,11,3.0,0.0
2025,12,13.0,0.0
