period_year,period_month,sales_units,promo_intensity
2023,1,1525850.9127000002,
2023,2,1693990.9751,
2023,3,2126540.2174,
2023,4,1869192.8390000002,0.6679156801739086
2023,5,1901832.4086,0.7068225782190592
2023,6,2446561.3784999996,0.6847917040480234
2023,7,1932525.7034,0.645191836196629
2023,8,1928242.4492000001,0.6481099291011421
2023,9,2491754.4673,0.5948029220882267
2023,10,1636961.3986000002,0.6648914796006952
2023,11,1767970.4753000003,0.6035917759112053
2023,12,2211102.2871000003,0.6483538428449395
2024,1,1740710.2993,0.5369676388531547
2024,2,1823447.8019000003,0.6071159341718447
2024,3,2405654.8657,0.5478812248839268
2024,4,1885161.1977,0.6280176551719217
2024,5,2093104.5502,0.6473012448561057
2024,6,2453686.5587000004,0.6823957358581123
2024,7,1778563.9783,0.5978592036453307
2024,8,1918224.7115,0.6365145846024256
2024,9,2716448.2379,0.6205068318940699
2024,10,1820848.6450999998,0.6706949493265805
2024,11,1897833.2688000002,0.5954401019611721
2024,12,2220478.8171,0.7067126439648622
2025,1,1987524.9051,0.6412696929765258
2025,2,2091890.4547000001,0.6671588237045663
2025,3,2536422.1602000003,0.650293805272978
2025,4,2293626.6590000005,0.7211652038784809
2025,5,2369150.9804,0.7226053415960452
2025,6,2753073.4712,0.7433382194749995
2025,7,2102569.6949,0.7022833866093461
2025,8,2218858.0958000002,0.6703938590405254
2025,9,3279325.2186999996,0.6184574990502709
2025,10,2224820.5274,0.5778577979351052
2025,11,2259674.2912999997,0.7435706493457137
2025,12,2559603.1704,0.724153325006722
