period_year,period_month,sales_units,promo_intensity
2023,1,12710.0,
2023,2,5415.0,
2023,3,12417.0,
2023,4,8721.807700000001,0.6361972226593234
2023,5,17536.1722,0.5731535180055402
2023,6,38602.1536,0.5341350487235242
2023,7,8495.961800000001,0.34951786428402903
2023,8,8541.6684,0.38058482911111013
2023,9,12444.631300000001,0.6261804729982733
2023,10,7335.3455,0.5136759089477073
2023,11,6152.1488,0.6564977516570416
2023,12,8222.706600000001,0.4426246119481258
2024,1,25725.458,0.2686945284308694
2024,2,29565.0,0.5622437318161095
2024,3,26807.0,0.2617204291346112
2024,4,17615.0,0.8100477433676787
2024,5,14003.0,0.6933842042956199
2024,6,25087.0,0.5497991532062521
2024,7,9799.0,0.5930911268804996
2024,8,23736.4329,0.7325238520317076
2024,9,18241.8744,0.6792239167696417
2024,10,21809.7941,0.31364471884886214
2024,11,14406.5817,0.7031596563104476
2024,12,9843.4755,0.6150952009624625
2025,1,24653.047899999998,0.7954460698003564
2025,2,9693.1788,0.7323132523518747
2025,3,23782.9407,0.6761007735529996
2025,4,32767.1584,0.8214273538161585
2025,5,29639.149599999997,0.662343183022684
2025,6,34404.9526,0.6725859178549775
2025,7,46099.8115,0.6881585862507993
2025,8,36551.734500000006,0.6043620866909083
2025,9,42223.92659999999,0.6404850533059593
2025,10,21876.072500000002,0.7128017345580686
2025,11,27832.1948,0.7098170977358133
2025,12,26834.0603,0.8781774028567018
