period_year,period_month,sales_units
2023,3,803416.5906000001
2023,4,953406.577
2023,5,1192821.7911
2023,6,2192113.3702000002
2023,7,1031400.3857999999
2023,8,759931.9771
2023,9,893106.5719000001
2023,10,552146.9400999999
2023,11,536591.6629000001
2023,12,2313590.1334
2024,1,254842.289
2024,2,366806.8007
2024,3,747655.3794000001
2024,4,499839.04299999995
2024,5,1120150.1485
2024,6,1727297.6782
2024,7,851829.1872000002
2024,8,680023.3374
2024,9,777624.9755
2024,10,421122.888
2024,11,452287.22370000003
2024,12,1527024.5971
2025,1,857923.5447000001
2025,2,283985.69
2025,3,596660.3097000001
2025,4,545994.0096999999
2025,5,825533.4599
2025,6,1599316.1437000001
2025,7,792360.0514
2025,8,744440.6266999999
2025,9,690850.5262000001
2025,10,464038.51100000006
2025,11,472776.8155
2025,12,1242057.6242
2026,1,1604724.9528
