Category,Brand,Scenario,Repeat,Actual (units),Forecast (units),APE (%),Outcome,Response time (s),Tokens in,Tokens out,Reasoning tokens,Cost (USD)
CSD,HARBOE,A,0,"6,365,900","7,100,000",11.5,ok,71.6,59259,3816,3590,$0.4108
CSD,HARBOE,B,0,"6,365,900","6,250,000",1.8,ok,87.9,21672,4447,4320,$0.2718
CSD,HARBOE,C,0,"6,365,900","4,969,050",21.9,ok,12.9,1033,136,0,$0.0092
CSD,HARBOE,D,0,"6,365,900","6,300,000",1.0,ok,155.3,103662,14740,unknown,$0.9605
CSD,HARBOE,E,0,"6,365,900","4,969,050",21.9,ok,33.7,29292,2040,unknown,$0.2077
CSD,HARBOE,F,0,"6,365,900","5,900,000",7.3,ok,118.1,32766,13554,13365,$0.5417
CSD,HARBOE,G,0,"6,365,900","6,300,000",1.0,ok,83.7,66088,5898,unknown,$0.5074
CSD,7-UP,B,0,"13,042","25,000",91.7,ok,134.9,31404,13818,13692,$0.6016
CSD,7-UP,C,0,"13,042","14,952",14.6,ok,6.5,1030,122,0,$0.0088
CSD,7-UP,D,0,"13,042","19,000",45.7,ok,80.1,62911,4991,unknown,$0.4643
CSD,7-UP,E,0,"13,042","14,952",14.6,ok,33.2,29301,1985,unknown,$0.2061
CSD,7-UP,F,0,"13,042","19,000",45.7,ok,139.0,34911,12279,12129,$0.5234
CSD,7-UP,G,0,"13,042","19,500",49.5,ok,101.3,88603,8064,unknown,$0.6849
CSD,ØRBÆK,B,0,"2,850","2,857",0.2,ok,146.2,27175,11131,10987,$0.4998
CSD,ØRBÆK,C,0,"2,850","2,769",2.8,ok,4.0,1041,115,0,$0.0087
CSD,ØRBÆK,D,0,"2,850","2,856",0.2,ok,112.4,58436,11411,unknown,$0.6345
CSD,ØRBÆK,E,0,"2,850","2,769",2.8,ok,34.7,29010,2121,unknown,$0.2087
CSD,ØRBÆK,F,0,"2,850","2,800",1.8,ok,108.2,28186,9980,9817,$0.4208
CSD,HARBOE,A,1,"6,365,900","7,200,000",13.1,ok,74.8,77003,3634,3438,$0.4773
CSD,HARBOE,A,2,"6,365,900","4,400,000",30.9,ok,64.7,53195,3679,3475,$0.3763
CSD,HARBOE,B,1,"6,365,900","6,850,000",7.6,ok,136.7,33009,14578,14453,$0.5690
CSD,HARBOE,B,2,"6,365,900","6,550,000",2.9,ok,89.0,25825,5913,5768,$0.2778
CSD,HARBOE,C,1,"6,365,900","4,969,050",21.9,ok,10.8,1034,129,0,$0.0090
CSD,HARBOE,C,2,"6,365,900","4,969,050",21.9,ok,4.8,1034,201,88,$0.0112
CSD,HARBOE,D,1,"6,365,900","6,412,572",0.7,ok,89.4,65319,5237,unknown,$0.4837
CSD,HARBOE,D,2,"6,365,900","6,367,620",0.0,ok,137.5,174942,9376,unknown,$1.1560
CSD,HARBOE,E,1,"6,365,900","4,969,050",21.9,ok,28.6,28938,1705,unknown,$0.1958
CSD,HARBOE,E,2,"6,365,900","4,969,050",21.9,ok,35.1,29397,2383,unknown,$0.2185
CSD,HARBOE,F,1,"6,365,900","5,900,000",7.3,ok,132.4,32425,14893,14735,$0.5756
CSD,HARBOE,F,2,"6,365,900","5,900,000",7.3,ok,121.5,31450,13394,13216,$0.5303
CSD,HARBOE,G,1,"6,365,900","6,300,000",1.0,ok,68.5,65226,4526,unknown,$0.4619
CSD,HARBOE,G,2,"6,365,900","5,800,000",8.9,ok,112.0,89908,5694,unknown,$0.6204
