number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_data_in_leaf,params_n_estimators,params_num_leaves,state
0,25.121828808814602,2026-04-23 23:23:25.305241,2026-04-23 23:23:48.921535,0 days 00:00:23.616294,0.662397808134481,0,0.8394633936788146,0.17254716573280354,12,1152,52,COMPLETE
1,24.277055934008928,2026-04-23 23:23:48.923220,2026-04-23 23:24:35.087957,0 days 00:00:46.164737,0.9329770563201687,1,0.608233797718321,0.06054365855469249,49,1121,111,COMPLETE
2,25.090467780640246,2026-04-23 23:24:35.088773,2026-04-23 23:24:43.001230,0 days 00:00:07.912457,0.7164916560792167,4,0.8099025726528951,0.017322667470546258,24,595,29,COMPLETE
3,25.319814129315688,2026-04-23 23:24:43.002116,2026-04-23 23:24:50.321079,0 days 00:00:07.318963,0.6798695128633439,4,0.7824279936868144,0.023993242906812717,41,676,24,COMPLETE
4,24.593547980322043,2026-04-23 23:24:50.321737,2026-04-23 23:25:21.677459,0 days 00:00:31.355722,0.9795542149013333,7,0.6682096494749166,0.011492999300221412,7,990,79,COMPLETE
5,24.678564622236685,2026-04-23 23:25:21.678118,2026-04-23 23:25:36.210464,0 days 00:00:14.532346,0.6488152939379115,3,0.8736932106048627,0.02490643969382439,25,327,105,COMPLETE
6,25.98468699387613,2026-04-23 23:25:36.211215,2026-04-23 23:25:39.553930,0 days 00:00:03.342715,0.8080272084711243,4,0.8650089137415928,0.15242391728466365,19,536,12,COMPLETE
7,25.568292877259307,2026-04-23 23:25:39.554597,2026-04-23 23:25:55.636376,0 days 00:00:16.081779,0.8391599915244341,7,0.9757995766256756,0.18258230439200232,46,1208,30,COMPLETE
8,27.586955303411752,2026-04-23 23:25:55.637000,2026-04-23 23:25:57.835269,0 days 00:00:02.198269,0.7085396127095583,6,0.7301321323053057,0.017987863473362915,22,258,18,COMPLETE
9,24.509736626185386,2026-04-23 23:25:57.835911,2026-04-23 23:26:15.738633,0 days 00:00:17.902722,0.6298202574719083,7,0.6563696899899051,0.023200867504756816,41,906,50,COMPLETE
10,24.111632638599904,2026-04-23 23:26:15.739830,2026-04-23 23:27:28.265229,0 days 00:01:12.525399,0.9630659181130072,0,0.6071847502459278,0.07122115458039353,34,1461,125,COMPLETE
11,23.584384321153898,2026-04-23 23:27:28.267564,2026-04-23 23:28:36.065088,0 days 00:01:07.797524,0.9866214592657089,0,0.6034989467874442,0.06540251149590118,35,1497,125,COMPLETE
12,23.573808498311728,2026-04-23 23:28:36.066077,2026-04-23 23:29:44.343154,0 days 00:01:08.277077,0.9035051710026214,0,0.601687448505531,0.07449186199378956,35,1494,127,COMPLETE
