number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,26.11830295048339,2026-04-23 23:57:44.623374,2026-04-23 23:57:50.509322,0 days 00:00:05.885948,0.6624074561769746,0.17254716573280354,5,2.403950683025824,1152,0.8394633936788146,COMPLETE
1,26.834593204622827,2026-04-23 23:57:50.510050,2026-04-23 23:57:53.209554,0 days 00:00:02.699504,0.608233797718321,0.13394334706750485,3,9.72918866945795,982,0.8832290311184182,COMPLETE
2,23.467540963268483,2026-04-23 23:57:53.210246,2026-04-23 23:57:57.540357,0 days 00:00:04.330111,0.721696897183815,0.018891200276189398,9,5.72280788469014,436,0.6733618039413735,COMPLETE
3,24.3383814029183,2026-04-23 23:57:57.541649,2026-04-23 23:58:03.041088,0 days 00:00:05.499439,0.7168578594140872,0.023927528765580634,6,4.297256589643226,996,0.6557975442608167,COMPLETE
4,24.946823892736564,2026-04-23 23:58:03.041807,2026-04-23 23:58:05.747568,0 days 00:00:02.705761,0.836965827544817,0.10508421338691762,6,1.4180537144799796,459,0.8056937753654446,COMPLETE
5,25.249991443044856,2026-04-23 23:58:05.748220,2026-04-23 23:58:07.924184,0 days 00:00:02.175964,0.9862528132298237,0.016666983286066417,7,8.27557613304815,284,0.9795542149013333,COMPLETE
6,25.74285487049031,2026-04-23 23:58:07.924919,2026-04-23 23:58:12.658477,0 days 00:00:04.733558,0.6488152939379115,0.013399060561509796,5,5.456592191001432,1090,0.7760609974958405,COMPLETE
7,28.38338390574175,2026-04-23 23:58:12.659244,2026-04-23 23:58:14.191689,0 days 00:00:01.532445,0.7246844304357644,0.15242391728466365,3,5.680612190600297,536,0.8650089137415928,COMPLETE
8,23.54117524975545,2026-04-23 23:58:14.192414,2026-04-23 23:58:23.963174,0 days 00:00:09.770760,0.9757995766256756,0.017398074711291726,7,9.053446153848839,1461,0.9100531293444458,COMPLETE
9,27.163677262945384,2026-04-23 23:58:23.963897,2026-04-23 23:58:26.042978,0 days 00:00:02.079081,0.6180909155642152,0.15826541904647565,7,3.927972976869379,315,0.678393144967658,COMPLETE
10,23.41764322916664,2026-04-23 23:58:26.043685,2026-04-23 23:58:33.360545,0 days 00:00:07.316860,0.8423486893732017,0.04128697297312281,10,7.212223662122307,679,0.6071847502459278,COMPLETE
11,23.54966822171099,2026-04-23 23:58:33.361443,2026-04-23 23:58:40.477994,0 days 00:00:07.116551,0.8582359102603714,0.042768740756745145,10,7.2744030850608485,666,0.6015074777884584,COMPLETE
12,23.23862180979871,2026-04-23 23:58:40.478803,2026-04-23 23:58:49.097871,0 days 00:00:08.619068,0.7708449222533328,0.036737579454859066,10,6.926971292563515,768,0.7173107974940462,COMPLETE
13,23.29822214198101,2026-04-23 23:58:49.098633,2026-04-23 23:58:56.194959,0 days 00:00:07.096326,0.9086656573027754,0.051174463932215745,9,7.246462344376616,737,0.7382774980993067,COMPLETE
14,24.13607510653409,2026-04-23 23:58:56.195727,2026-04-23 23:59:04.266416,0 days 00:00:08.070689,0.9387984493554663,0.07765014971240251,9,7.005210494307715,806,0.7371197153065265,COMPLETE
15,23.74741872151694,2026-04-23 23:59:04.268328,2026-04-23 23:59:12.098789,0 days 00:00:07.830461,0.903539572654069,0.06127704989379011,9,8.394633130928558,816,0.7356056577882386,COMPLETE
16,23.214307038680385,2026-04-23 23:59:12.099598,2026-04-23 23:59:22.166170,0 days 00:00:10.066572,0.7808958426311435,0.030557039477923525,8,6.631720761650813,1285,0.7233116264525057,COMPLETE
17,23.470883342974854,2026-04-23 23:59:22.166920,2026-04-23 23:59:33.648760,0 days 00:00:11.481840,0.7886458923961345,0.031685078638614486,8,4.638740186452947,1357,0.791022574574916,COMPLETE
