feature,mean_abs_shap,rank
lag_1,1.3615666417392578,1
weighted_dist,0.640645844625811,2
rolling_mean_13,0.4007387205582224,3
rolling_mean_4,0.2927054876937388,4
channel_mean_sales,0.11885191979375027,5
channel,0.07991442371911825,6
month_cos,0.06980100562622459,7
brand_mean_sales,0.06513496951162409,8
brand_std_sales,0.06473124317666343,9
lag_2,0.05757602425073938,10
lag_12,0.0421915791947777,11
month_sin,0.040954575474783234,12
brand,0.034465846488575265,13
lag_3,0.030574627353770308,14
months_since_start,0.02948238305993334,15
unit_price_lag_1,0.024332855702988532,16
rolling_std_4,0.0204869382670622,17
brand_rank,0.017148618267229226,18
promo_intensity_lag_1,0.015467297866397839,19
