dataset,category,model,mape_mean,mape_median,wmape,n_train,n_test,n_series
bychain,CSD,SeasonalNaive,1955.7126734593887,44.24551456458456,39.90298564628401,3822,4305,390
bychain,CSD,Ridge,2245.4839023640898,89.46577008548397,45356.173074580576,3822,4305,390
bychain,CSD,LightGBM,64.54870570434755,25.31477700749976,24.171205080697796,3822,4305,390
bychain,CSD,XGBoost,65.15173867627958,25.13387380311191,23.26889731415928,3822,4305,390
bychain,danskvand,SeasonalNaive,97308488780.50938,38.50609500582226,37.65196753549771,1213,966,125
bychain,danskvand,Ridge,493529084890.75574,82.17178926746259,24577.87033763123,1213,966,125
bychain,danskvand,LightGBM,8780526532.10214,24.129584940518793,27.63338802732002,1213,966,125
bychain,danskvand,XGBoost,4846033915.442605,22.393545099313634,22.917295011213483,1213,966,125
bychain,energidrikke,SeasonalNaive,6218276771549.407,40.59643363611176,31.89181170879973,1814,1149,159
bychain,energidrikke,Ridge,813855069999.6005,76.44203163620922,498.0349010459431,1814,1149,159
bychain,energidrikke,LightGBM,13077433484.845602,22.92736494095217,16.529687603905305,1814,1149,159
bychain,energidrikke,XGBoost,20944068538.80025,21.703737173507438,16.03981518429994,1814,1149,159
bychain,RTD,SeasonalNaive,151162791750.3178,67.80238500851789,58.82824518334715,2056,1505,215
bychain,RTD,Ridge,239616902074.1634,95.4479889998334,3889.5859249869764,2056,1505,215
bychain,RTD,LightGBM,4912813197.067054,31.123032963942975,45.24699122479979,2056,1505,215
bychain,RTD,XGBoost,7871636645.540936,30.25203581779236,41.20430824854295,2056,1505,215
brand,CSD,SeasonalNaive,4437.191474486516,56.31505594362515,32.63530626525786,750,845,77
brand,CSD,Ridge,1119.7254805769685,89.4242750831378,163.30316653221456,750,845,77
brand,CSD,LightGBM,57.04261723534062,27.724083750797547,19.607257473518228,750,845,77
brand,CSD,XGBoost,54.63809555554396,26.60403621640379,18.971576160504608,750,845,77
brand,danskvand,SeasonalNaive,64736843214.153694,43.754990992998685,36.67682479605956,238,190,24
brand,danskvand,Ridge,424940583973.6166,84.57436112690178,483.57496906445465,238,190,24
brand,danskvand,LightGBM,14912360973.569927,41.43234758102866,42.33901592029426,238,190,24
brand,danskvand,XGBoost,3990000982.182635,31.30333884136939,31.811242217276277,238,190,24
brand,energidrikke,SeasonalNaive,4052930708385.395,73.35976123903892,27.480421243495044,288,205,27
brand,energidrikke,Ridge,3643603033637.161,91.21727196242452,119.95815509358778,288,205,27
brand,energidrikke,LightGBM,158919434156.28412,42.818354700492094,16.309081648330732,288,205,27
brand,energidrikke,XGBoost,37408172815.41855,35.799307896676005,15.630152323015857,288,205,27
brand,RTD,SeasonalNaive,93209890711.2153,70.49576725656938,41.59536043005549,416,324,42
brand,RTD,Ridge,436625453575.7373,131.82707878541515,345.94012249040264,416,324,42
brand,RTD,LightGBM,12641869462.862453,29.812328116044203,36.42955907845952,416,324,42
brand,RTD,XGBoost,6567621145.3034115,27.145826665231777,38.37940477349347,416,324,42
