dataset,category,model,val_wmape,test_wmape,test_mape,test_median
bychain,CSD,LightGBM,22.590858204340822,21.236385002153586,55.197978473731844,22.070751418964242
bychain,CSD,XGBoost,21.86270115228495,20.80393339601985,54.45914411949098,21.989770877226555
bychain,danskvand,LightGBM,16.577382948553705,24.11497495063425,7438153885.372988,23.449676131446626
bychain,danskvand,XGBoost,16.322850508268946,22.004682498424604,7984019094.487712,21.779703567746335
bychain,energidrikke,LightGBM,14.568656844577138,14.431773925221346,11431678131.808943,21.16657573532777
bychain,energidrikke,XGBoost,14.511636773900385,13.886533355964561,16142103812.73824,20.961861364534457
bychain,RTD,LightGBM,40.01870293458788,40.786585154511954,5019414818.593562,30.24799019964001
bychain,RTD,XGBoost,38.9111855289461,38.77799096694308,5346112824.880442,29.11003818031117
brand,CSD,LightGBM,15.311873921285438,17.382427035729293,46.92397476877155,24.458322445827736
brand,CSD,XGBoost,15.171148162110532,16.48072830992951,45.4977523250077,24.353282867641063
brand,danskvand,LightGBM,14.89478458481762,26.209608781968097,827797946.8362389,31.099945303581123
brand,danskvand,XGBoost,14.186876016290304,23.838149389983183,1629493165.4005523,25.525067412575865
brand,energidrikke,LightGBM,10.995082404447851,14.302864382788878,49298452761.5255,36.969629414770665
brand,energidrikke,XGBoost,11.133142513578683,11.441752338812565,9449126792.28565,41.24325022977941
brand,RTD,LightGBM,28.824413087115254,33.4231806384218,7791027559.215784,31.051592361920065
brand,RTD,XGBoost,30.28152327275483,30.958520442367803,2565595403.260799,29.51950799646297
