category,ensemble,lower90,upper90,agreement,confidence,tier,actual,in_interval
CSD,2123.7,303.7,14801.1,0.751,53.1,Moderate,779.0,True
CSD,1015.0,144.6,7073.2,0.383,42.0,Moderate,1055.0,True
CSD,1388.9,198.3,9679.2,0.638,49.7,Moderate,1571.6,True
CSD,1495.5,213.6,10422.1,0.334,40.6,Moderate,1495.0,True
CSD,1915.2,273.8,13347.9,0.0,30.6,Low,1359.0,True
CSD,1477.1,210.9,10294.1,0.383,42.1,Moderate,951.0,True
CSD,1107.9,157.9,7720.5,0.575,47.8,Moderate,943.0,True
CSD,1767.4,252.6,12317.4,0.255,38.2,Low,1071.0,True
CSD,2139.2,305.9,14908.6,0.476,44.8,Moderate,1719.5,True
CSD,1397.6,199.5,9739.9,0.481,45.0,Moderate,1215.0,True
CSD,1409.1,201.2,9820.4,0.384,42.1,Moderate,935.0,True
CSD,1829.0,261.4,12747.1,0.216,37.1,Low,1108.1,True
CSD,159696.2,22911.5,1113053.0,0.812,54.9,Moderate,187603.3,True
CSD,249962.8,35862.6,1742195.0,0.834,55.6,Moderate,222050.2,True
CSD,248005.4,35581.8,1728551.8,0.632,49.5,Moderate,250523.0,True
CSD,203744.4,29231.4,1420060.7,0.477,44.9,Moderate,209898.6,True
CSD,178879.2,25663.8,1246754.5,0.906,57.7,Moderate,207468.8,True
CSD,149160.5,21399.9,1039621.0,0.696,51.4,Moderate,205756.2,True
CSD,140749.0,20193.1,980994.1,0.884,57.1,Moderate,164923.9,True
CSD,153100.1,21965.1,1067079.0,0.88,57.0,Moderate,169642.2,True
CSD,284916.9,40877.7,1985818.7,0.735,52.6,Moderate,238458.0,True
CSD,173399.3,24877.6,1208560.9,0.853,56.1,Moderate,101952.2,True
CSD,125745.6,18040.4,876423.4,0.667,50.6,Moderate,68855.3,True
CSD,113975.0,16351.6,794384.0,0.872,56.7,Moderate,104331.4,True
CSD,203852.3,29246.9,1420813.0,0.0,30.6,Low,94689.2,True
CSD,334469.7,47987.3,2331192.3,0.0,30.6,Low,112839.6,True
CSD,278740.1,39991.4,1942767.5,0.0,30.6,Low,134812.9,True
CSD,181142.8,25988.6,1262532.0,0.0,30.6,Low,118210.0,True
CSD,338408.4,48552.4,2358644.7,0.0,30.6,Low,121181.3,True
CSD,200452.3,28759.0,1397115.2,0.0,30.6,Low,113565.9,True
CSD,251562.4,36092.1,1753343.5,0.0,30.6,Low,100081.8,True
CSD,264440.2,37939.7,1843099.3,0.0,30.6,Low,89347.2,True
CSD,739264.1,106065.5,5152536.5,0.0,30.6,Low,137747.6,True
CSD,160997.1,23098.2,1122119.5,0.0,30.6,Low,91368.2,True
CSD,151575.6,21746.4,1056453.9,0.0,30.6,Low,55160.4,True
CSD,331935.6,47623.7,2313530.0,0.0,30.6,Low,86450.6,True
CSD,53533.5,7679.8,373117.7,0.411,42.9,Moderate,32407.0,True
CSD,43279.9,6208.6,301652.0,0.88,57.0,Moderate,43687.0,True
CSD,130409.0,18709.5,908926.3,0.468,44.6,Moderate,36615.0,True
CSD,40889.1,5865.6,284988.6,0.961,59.4,Moderate,33183.0,True
CSD,36381.8,5218.9,253573.5,0.535,46.6,Moderate,21151.0,True
CSD,18999.4,2725.0,132421.3,0.329,40.4,Moderate,10375.0,True
CSD,18712.0,2683.7,130418.0,0.41,42.9,Moderate,2943.0,True
CSD,6518.0,934.2,45428.5,0.611,48.9,Moderate,2967.0,True
CSD,7713.7,1105.7,53761.8,0.541,46.8,Moderate,2831.0,True
CSD,2477.0,354.4,17263.1,0.926,58.3,Moderate,2007.0,True
CSD,2462.1,352.3,17159.6,0.945,58.9,Moderate,2528.1,True
CSD,2848.7,407.7,19854.2,0.812,54.9,Moderate,3281.3,True
CSD,1799.6,257.2,12541.6,0.86,56.4,Moderate,791.0,True
CSD,922.0,131.3,6425.4,0.456,44.2,Moderate,647.0,True
CSD,976.4,139.1,6804.1,0.042,31.8,Low,887.0,True
CSD,1167.4,166.5,8135.6,0.588,48.2,Moderate,663.0,True
CSD,721.1,102.5,5024.9,0.179,35.9,Low,879.0,True
CSD,875.0,124.5,6097.3,0.41,42.9,Moderate,863.0,True
CSD,1354.4,193.3,9439.1,0.719,52.1,Moderate,535.0,True
CSD,952.3,135.6,6636.2,0.491,45.3,Moderate,455.0,True
CSD,1080.1,154.0,7527.2,0.501,45.6,Moderate,359.0,True
CSD,567.3,80.4,3953.2,0.202,36.6,Low,287.0,True
CSD,1177.0,167.9,8202.3,0.0,30.6,Low,207.0,True
CSD,807.1,114.8,5624.3,0.344,40.9,Moderate,391.0,True
CSD,1622.3,231.8,11306.2,0.697,51.5,Moderate,1031.0,True
CSD,1956.7,279.7,13636.8,0.843,55.9,Moderate,1727.0,True
CSD,2914.8,417.2,20314.5,0.879,56.9,Moderate,1527.0,True
CSD,1307.0,186.5,9108.7,0.663,50.4,Moderate,1335.0,True
CSD,2002.9,286.4,13959.0,0.557,47.3,Moderate,1303.0,True
CSD,1765.6,252.3,12304.6,0.788,54.2,Moderate,1295.0,True
CSD,2442.7,349.5,17024.5,0.827,55.4,Moderate,1271.0,True
CSD,2191.0,313.4,15269.9,0.558,47.3,Moderate,1431.0,True
CSD,2726.4,390.2,19001.8,0.96,59.4,Moderate,2767.0,True
CSD,2400.6,343.4,16731.0,0.672,50.7,Moderate,1727.0,True
CSD,1989.6,284.5,13866.5,0.818,55.1,Moderate,1511.0,True
CSD,1844.7,263.7,12856.1,0.514,46.0,Moderate,1927.0,True
CSD,52019.5,7462.5,362565.6,0.267,38.6,Low,35518.2,True
CSD,26904.7,3859.2,187520.1,0.0,30.6,Low,17882.5,True
CSD,11172.8,1602.0,77871.2,0.451,44.1,Moderate,11116.2,True
