category,brand,chain,forecast_month,forecast,lower90,upper90,confidence,tier,model
CSD,1724,,month_04,1234.7,1038.7,1465.2,78.6,High,XGBoost(tuned)
CSD,7-UP,,month_04,103906.8,87498.5,123389.7,78.6,High,XGBoost(tuned)
CSD,ALBANI,,month_04,111594.1,93971.9,132518.4,78.6,High,XGBoost(tuned)
CSD,AYYO,,month_04,2343.1,1972.1,2781.5,78.6,High,XGBoost(tuned)
CSD,BOYLAN,,month_04,232.5,194.8,275.1,78.6,High,XGBoost(tuned)
CSD,BUNDABERG,,month_04,1172.7,986.6,1391.7,78.6,High,XGBoost(tuned)
CSD,CANDY CAN,,month_04,305.7,256.4,362.0,78.6,High,XGBoost(tuned)
CSD,CARIBIA,,month_04,865221.6,728598.4,1027461.2,78.6,High,XGBoost(tuned)
CSD,CARLSBERG SPORT,,month_04,6.9,4.8,7.1,78.6,High,XGBoost(tuned)
CSD,CHUPA CHUPS,,month_04,694.8,584.1,824.1,78.6,High,XGBoost(tuned)
CSD,COCA COLA,,month_04,30294728.0,25511062.1,35975392.9,78.6,High,XGBoost(tuned)
CSD,D&G,,month_04,12.0,9.1,13.3,78.6,High,XGBoost(tuned)
CSD,DEPANNEUR FRIZZANTE,,month_04,21.7,17.2,24.7,78.6,High,XGBoost(tuned)
CSD,DOUBLE DUTCH,,month_04,28161.7,23713.8,33441.4,78.6,High,XGBoost(tuned)
CSD,DR PEPPER,,month_04,108441.0,91316.7,128774.1,78.6,High,XGBoost(tuned)
CSD,EASIS,,month_04,11.8,9.0,13.0,78.6,High,XGBoost(tuned)
CSD,EAST IMPERIAL,,month_04,103.5,86.2,121.9,78.6,High,XGBoost(tuned)
CSD,EBELTOFT,,month_04,22472.4,18922.9,26685.2,78.6,High,XGBoost(tuned)
CSD,EFFERVE,,month_04,3667.1,3087.1,4353.8,78.6,High,XGBoost(tuned)
CSD,EGO,,month_04,803390.7,676530.9,954036.2,78.6,High,XGBoost(tuned)
CSD,FANTA,,month_04,8926029.0,7516570.5,10599777.6,78.6,High,XGBoost(tuned)
CSD,FAXE KONDI,,month_04,32343310.0,27236164.4,38408111.4,78.6,High,XGBoost(tuned)
CSD,FENTIMANS,,month_04,54542.0,45928.6,64768.3,78.6,High,XGBoost(tuned)
CSD,FEVER TREE,,month_04,1907052.8,1605920.1,2264649.6,78.6,High,XGBoost(tuned)
CSD,FINGERS CROSSED,,month_04,435.4,365.7,516.1,78.6,High,XGBoost(tuned)
CSD,FRANKLIN & SONS,,month_04,3054.5,2571.1,3626.2,78.6,High,XGBoost(tuned)
CSD,FREM,,month_04,343409.9,289183.1,407802.9,78.6,High,XGBoost(tuned)
CSD,FRESH,,month_04,174587.4,147018.3,207323.9,78.6,High,XGBoost(tuned)
CSD,FRESH MOJITO,,month_04,36841.3,31022.9,43748.5,78.6,High,XGBoost(tuned)
CSD,FUGLSANG,,month_04,1622.6,1365.4,1925.8,78.6,High,XGBoost(tuned)
CSD,GAZOZ,,month_04,11.2,8.4,12.3,78.6,High,XGBoost(tuned)
CSD,GUARANA ANARCTICA,,month_04,269533.0,226971.6,320073.0,78.6,High,XGBoost(tuned)
CSD,HANCOCK,,month_04,1964877.6,1654614.2,2333317.4,78.6,High,XGBoost(tuned)
CSD,HARBOE,,month_04,49464244.0,41653630.9,58739449.1,78.6,High,XGBoost(tuned)
CSD,HARBOE OTHER,,month_04,752991.7,634090.1,894186.7,78.6,High,XGBoost(tuned)
CSD,HATA RAMUNE,,month_04,12572.2,10586.0,14928.6,78.6,High,XGBoost(tuned)
CSD,HAWAI,,month_04,1480.4,1245.6,1756.9,78.6,High,XGBoost(tuned)
CSD,INDI & CO,,month_04,13.8,10.6,15.4,78.6,High,XGBoost(tuned)
CSD,JARRITOS,,month_04,103770.6,87383.8,123228.0,78.6,High,XGBoost(tuned)
CSD,JOLLY,,month_04,2403360.8,2023859.0,2854022.0,78.6,High,XGBoost(tuned)
CSD,KINLEY,,month_04,22209.8,18701.8,26373.5,78.6,High,XGBoost(tuned)
CSD,LE TRIBUTE,,month_04,331.5,278.2,392.7,78.6,High,XGBoost(tuned)
CSD,LE VILLAGE,,month_04,126349.5,106397.3,150040.7,78.6,High,XGBoost(tuned)
CSD,LØGISMOSE,,month_04,93278.4,78548.4,110768.4,78.6,High,XGBoost(tuned)
CSD,MACARN,,month_04,23.3,18.6,26.7,78.6,High,XGBoost(tuned)
CSD,MIRINDA,,month_04,294868.1,248306.2,350158.8,78.6,High,XGBoost(tuned)
CSD,MOUNTAIN DEW.,,month_04,144617.4,121780.7,171734.1,78.6,High,XGBoost(tuned)
CSD,NATUR FRISK,,month_04,5204.6,4381.8,6179.6,78.6,High,XGBoost(tuned)
CSD,NICOLAS VAHE,,month_04,6.8,4.7,7.1,78.6,High,XGBoost(tuned)
