brand,channel,date,system,n_bullets,specificity_rate,lever_diversity,context_mentions,indeks_mentions,word_count,latency_s
COCA COLA,DVH_EXCL_HD,2025-09-01,A,3,1.0,5,1,0,172,9.915048499999102
COCA COLA,DVH_EXCL_HD,2025-09-01,B,3,1.0,5,8,0,231,12.111322207027115
COCA COLA,DVH_EXCL_HD,2025-09-01,C,3,1.0,5,2,8,234,12.129610916017555
HARBOE,TOTAL_DISCOUNT,2025-10-01,A,3,1.0,4,1,0,161,8.212933625967707
HARBOE,TOTAL_DISCOUNT,2025-10-01,B,3,1.0,3,8,1,241,12.244096916983835
HARBOE,TOTAL_DISCOUNT,2025-10-01,C,3,1.0,4,1,10,216,12.307354084041435
PEPSI,CONVENIENCE,2025-11-01,A,3,1.0,3,0,0,143,8.015042915998492
PEPSI,CONVENIENCE,2025-11-01,B,3,1.0,3,5,1,198,11.0713853330235
PEPSI,CONVENIENCE,2025-11-01,C,3,1.0,4,2,5,232,12.865925583057106
FAXE KONDI,DVH_EXCL_HD,2025-12-01,A,3,1.0,4,4,0,181,10.607238292053808
FAXE KONDI,DVH_EXCL_HD,2025-12-01,B,3,1.0,4,8,1,203,11.377739541989285
FAXE KONDI,DVH_EXCL_HD,2025-12-01,C,3,1.0,4,1,10,237,13.977490793040488
FANTA,TOTAL_DISCOUNT,2026-01-01,A,3,1.0,4,1,0,163,8.336208792985417
FANTA,TOTAL_DISCOUNT,2026-01-01,B,3,1.0,3,8,1,250,12.797654040972702
FANTA,TOTAL_DISCOUNT,2026-01-01,C,3,1.0,5,2,9,224,11.643400293018203
FEVER TREE,DVH_EXCL_HD,2025-10-01,A,3,1.0,5,2,0,151,9.320220959023573
FEVER TREE,DVH_EXCL_HD,2025-10-01,B,3,1.0,4,6,0,213,9.955924167938065
FEVER TREE,DVH_EXCL_HD,2025-10-01,C,3,1.0,3,3,11,230,12.48213575000409
ULUDAG,TOTAL_DISCOUNT,2025-11-01,A,3,1.0,4,1,0,173,9.625953626062255
ULUDAG,TOTAL_DISCOUNT,2025-11-01,B,3,1.0,5,7,0,207,10.38670216704486
ULUDAG,TOTAL_DISCOUNT,2025-11-01,C,3,1.0,4,3,9,268,13.622115124075208
SAN PELLEGRINO,CONVENIENCE,2025-12-01,A,3,1.0,5,1,0,175,9.969737042032648
SAN PELLEGRINO,CONVENIENCE,2025-12-01,B,3,1.0,4,5,0,230,12.038619750004727
SAN PELLEGRINO,CONVENIENCE,2025-12-01,C,3,1.0,4,3,12,232,12.59290783398319
CARIBIA,DVH_EXCL_HD,2026-01-01,A,3,1.0,3,2,0,144,7.846422290953342
CARIBIA,DVH_EXCL_HD,2026-01-01,B,3,1.0,5,11,0,217,11.027006791089661
CARIBIA,DVH_EXCL_HD,2026-01-01,C,3,1.0,4,0,11,227,12.030316418036819
ORANGINA,TOTAL_DISCOUNT,2025-09-01,A,3,1.0,4,2,0,204,10.533151083975099
ORANGINA,TOTAL_DISCOUNT,2025-09-01,B,3,1.0,3,7,0,213,10.69868733297335
ORANGINA,TOTAL_DISCOUNT,2025-09-01,C,3,1.0,4,2,13,260,13.409088166023139
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,A,3,1.0,4,1,0,159,9.161426209029742
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,B,3,1.0,5,8,0,255,12.547419332957361
CHUPA CHUPS,DVH_EXCL_HD,2025-11-01,C,3,1.0,4,2,8,256,14.21161683392711
FRESH,TOTAL_DISCOUNT,2025-11-01,A,3,1.0,4,1,0,169,9.61491554195527
FRESH,TOTAL_DISCOUNT,2025-11-01,B,3,1.0,5,7,0,249,11.714363166014664
FRESH,TOTAL_DISCOUNT,2025-11-01,C,3,1.0,4,1,12,242,12.981827666983008
VIMTO,CONVENIENCE,2026-02-01,A,3,1.0,5,0,0,169,10.110004874994047
VIMTO,CONVENIENCE,2026-02-01,B,3,1.0,5,6,0,213,11.156683166977018
VIMTO,CONVENIENCE,2026-02-01,C,3,1.0,3,3,7,213,11.363030249078292
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,A,3,1.0,3,1,0,200,10.644185749988537
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,B,3,1.0,3,8,0,242,12.593835791980382
THE PERFECT MIXER,DVH_EXCL_HD,2025-11-01,C,3,1.0,4,2,11,251,14.838928124983795
VIMTO,CONVENIENCE,2025-12-01,A,3,1.0,5,1,0,193,10.709476125077344
VIMTO,CONVENIENCE,2025-12-01,B,3,1.0,4,8,1,227,11.688181124918628
VIMTO,CONVENIENCE,2025-12-01,C,3,1.0,4,2,5,225,11.730524998041801
AYYO,CONVENIENCE,2025-09-01,A,3,1.0,3,2,0,170,10.551954917085823
AYYO,CONVENIENCE,2025-09-01,B,3,1.0,4,13,0,219,12.949834375001956
AYYO,CONVENIENCE,2025-09-01,C,3,1.0,2,2,14,226,13.003852707974147
HANCOCK,TOTAL_DISCOUNT,2026-01-01,A,3,1.0,4,1,0,190,9.62393629096914
HANCOCK,TOTAL_DISCOUNT,2026-01-01,B,3,1.0,5,9,0,240,12.838411832985003
HANCOCK,TOTAL_DISCOUNT,2026-01-01,C,3,1.0,3,1,10,260,12.748058583005331
EBELTOFT,DVH_EXCL_HD,2025-12-01,A,3,1.0,3,1,0,182,9.211180541024078
EBELTOFT,DVH_EXCL_HD,2025-12-01,B,3,1.0,4,8,0,257,13.597509665996768
EBELTOFT,DVH_EXCL_HD,2025-12-01,C,3,1.0,4,1,9,216,11.078088333946653
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,A,3,1.0,4,1,0,202,13.639169375936035
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,B,3,1.0,4,11,0,251,12.301122375938576
GUARANA ANARCTICA,TOTAL_DISCOUNT,2025-10-01,C,3,1.0,4,0,15,294,14.24905145802768
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,A,3,1.0,4,0,0,171,10.348397873982321
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,B,3,1.0,2,5,0,242,13.38684612500947
CARLSBERG SPORT,DVH_EXCL_HD,2026-03-01,C,3,1.0,5,1,9,282,16.19214662403101
